2016-08-03 15:23:28 status unpacked libsemanage1:armhf 2.2-1
2016-08-03 15:23:28 status unpacked libsemanage1:armhf 2.2-1
2016-08-03 15:23:28 install libsepol1:armhf <none> 2.2-1
2016-08-03 15:23:28 status half-installed libsepol1:armhf 2.2-1
2016-08-03 15:23:28 status unpacked libsepol1:armhf 2.2-1
2016-08-03 15:23:28 status unpacked libsepol1:armhf 2.2-1
2016-08-03 15:23:28 install libslang2:armhf <none> 2.2.4-15ubuntu1
2016-08-03 15:23:28 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2016-08-03 15:23:28 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2016-08-03 15:23:28 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2016-08-03 15:23:28 install libss2:armhf <none> 1.42.9-3ubuntu1
2016-08-03 15:23:28 status half-installed libss2:armhf 1.42.9-3ubuntu1
